name,name_new,include,label
r5scwtresp,,,"r5scwtresp:w5 person-level weight, self-completion sample"
r6scwtresp,,,"r6scwtresp:w6 person-level weight, self-completion sample"
s2scwtresp,,,"s2scwtresp:w2 person-level weight, self-completion sample"
s4scwtresp,,,"s4scwtresp:w4 person-level weight, self-completion sample"
s5scwtresp,,,"s5scwtresp:w5 person-level weight, self-completion sample"
s6scwtresp,,,"s6scwtresp:w6 person-level weight, self-completion sample"
hh1hhresp,,,hh1hhresp:w1 # core respondents in hh
hh2hhresp,,,hh2hhresp:w2 # core respondents in hh
hh3hhresp,,,hh3hhresp:w3 # core respondents in hh
hh4hhresp,,,hh4hhresp:w4 # core respondents in hh
hh5hhresp,,,hh5hhresp:w5 # core respondents in hh
hh6hhresp,,,hh6hhresp:w6 # core respondents in hh
h1cpl,,,h1cpl:w1 whether coupled
h2cpl,,,h2cpl:w2 whether coupled
h3cpl,,,h3cpl:w3 whether coupled
h4cpl,,,h4cpl:w4 whether coupled
h5cpl,,,h5cpl:w5 whether coupled
h6cpl,,,h6cpl:w6 whether coupled
r1finr,,,r1finr:w1 whether financial resp
r2finr,,,r2finr:w2 whether financial resp
r3finr,,,r3finr:w3 whether financial resp
r4finr,,,r4finr:w4 whether financial resp
r5finr,,,r5finr:w5 whether financial resp
r6finr,,,r6finr:w6 whether financial resp
s1finr,,,s1finr:w1 whether financial resp
s2finr,,,s2finr:w2 whether financial resp
s3finr,,,s3finr:w3 whether financial resp
s4finr,,,s4finr:w4 whether financial resp
s5finr,,,s5finr:w5 whether financial resp
s6finr,,,s6finr:w6 whether financial resp
h1anyfin,,,h1anyfin:w1 whether any finr in couple
h2anyfin,,,h2anyfin:w2 whether any finr in couple
h3anyfin,,,h3anyfin:w3 whether any finr in couple
h4anyfin,,,h4anyfin:w4 whether any finr in couple
h5anyfin,,,h5anyfin:w5 whether any finr in couple
h6anyfin,,,h6anyfin:w6 whether any finr in couple
r1hhr,,,r1hhr:w1 whether hh resp
r2hhr,,,r2hhr:w2 whether hh resp
r3hhr,,,r3hhr:w3 whether hh resp
r4hhr,,,r4hhr:w4 whether hh resp
r5hhr,,,r5hhr:w5 whether hh resp
r6hhr,,,r6hhr:w6 whether hh resp
s1hhr,,,s1hhr:w1 whether hh resp
s2hhr,,,s2hhr:w2 whether hh resp
s3hhr,,,s3hhr:w3 whether hh resp
s4hhr,,,s4hhr:w4 whether hh resp
s5hhr,,,s5hhr:w5 whether hh resp
s6hhr,,,s6hhr:w6 whether hh resp
r1hor,,,r1hor:w1 whether housing resp
r2hor,,,r2hor:w2 whether housing resp
r3hor,,,r3hor:w3 whether housing resp
r4hor,,,r4hor:w4 whether housing resp
r5hor,,,r5hor:w5 whether housing resp
r6hor,,,r6hor:w6 whether housing resp
s1hor,,,s1hor:w1 hh housing resp
s2hor,,,s2hor:w2 hh housing resp
s3hor,,,s3hor:w3 hh housing resp
s4hor,,,s4hor:w4 hh housing resp
s5hor,,,s5hor:w5 hh housing resp
s6hor,,,s6hor:w6 hh housing resp
hh1anyho,,,hh1anyho:w1 whether any hor in hh
hh2anyho,,,hh2anyho:w2 whether any hor in hh
hh3anyho,,,hh3anyho:w3 whether any hor in hh
hh4anyho,,,hh4anyho:w4 whether any hor in hh
hh5anyho,,,hh5anyho:w5 whether any hor in hh
hh6anyho,,,hh6anyho:w6 whether any hor in hh
r1proxy,,,r1proxy:w1 whether proxy interview
r2proxy,,,r2proxy:w2 whether proxy interview
r3proxy,,,r3proxy:w3 whether proxy interview
r4proxy,,,r4proxy:w4 whether proxy interview
r5proxy,,,r5proxy:w5 whether proxy interview
r6proxy,,,r6proxy:w6 whether proxy interview
s1proxy,,,s1proxy:w1 whether proxy interview
s2proxy,,,s2proxy:w2 whether proxy interview
s3proxy,,,s3proxy:w3 whether proxy interview
s4proxy,,,s4proxy:w4 whether proxy interview
s5proxy,,,s5proxy:w5 whether proxy interview
s6proxy,,,s6proxy:w6 whether proxy interview
hh1iwhh,,,hh1iwhh:w1 household interview date
hh2iwhh,,,hh2iwhh:w2 household interview date
hh3iwhh,,,hh3iwhh:w3 household interview date
hh4iwhh,,,hh4iwhh:w4 household interview date
hh1iwhhf,,,hh1iwhhf:w1 household interview date flag
hh2iwhhf,,,hh2iwhhf:w2 household interview date flag
hh3iwhhf,,,hh3iwhhf:w3 household interview date flag
hh4iwhhf,,,hh4iwhhf:w4 household interview date flag
hh1iwhhm,,,hh1iwhhm:w1 household interview month
hh2iwhhm,,,hh2iwhhm:w2 household interview month
hh3iwhhm,,,hh3iwhhm:w3 household interview month
hh4iwhhm,,,hh4iwhhm:w4 household interview month
hh1iwhhy,,,hh1iwhhy:w1 household interview year
hh2iwhhy,,,hh2iwhhy:w2 household interview year
hh3iwhhy,,,hh3iwhhy:w3 household interview year
hh4iwhhy,,,hh4iwhhy:w4 household interview year
r1iwind,date_1,,r1iwind:w1 individual interview date
r2iwind,date_2,,r2iwind:w2 individual interview date
r3iwind,date_3,,r3iwind:w3 individual interview date
r4iwind,date_4,,r4iwind:w4 individual interview date
r5iwind,date_5,,r5iwind:w5 individual interview date
r6iwind,date_6,,r6iwind:w6 individual interview date
s1iwind,,,s1iwind:w1 individual interview date
s2iwind,,,s2iwind:w2 individual interview date
s3iwind,,,s3iwind:w3 individual interview date
s4iwind,,,s4iwind:w4 individual interview date
s5iwind,,,s5iwind:w5 individual interview date
s6iwind,,,s6iwind:w6 individual interview date
r1iwindf,,,r1iwindf:w1 individual interview date flag
r2iwindf,,,r2iwindf:w2 individual interview date flag
r3iwindf,,,r3iwindf:w3 individual interview date flag
r4iwindf,,,r4iwindf:w4 individual interview date flag
r5iwindf,,,r5iwindf:w5 individual interview date flag
r6iwindf,,,r6iwindf:w6 individual interview date flag
s1iwindf,,,s1iwindf:w1 individual interview date flag
s2iwindf,,,s2iwindf:w2 individual interview date flag
s3iwindf,,,s3iwindf:w3 individual interview date flag
s4iwindf,,,s4iwindf:w4 individual interview date flag
s5iwindf,,,s5iwindf:w5 individual interview date flag
s6iwindf,,,s6iwindf:w6 individual interview date flag
r1iwindm,,,r1iwindm:w1 individual interview month
